"nombre","año_nacimiento","que_hace","conocido_por","premios","ID_IMDB"
"Al Bianchi","NULL","['Reparto', 'Dirección de casting', 'Reparto']","['su papel en Yo, Tonya', 'The Red, Black and Blonde: God $ave', 'Velma Is Living']","NULL","tt1800301"
"Thomas Brown","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave']","NULL","tt1800301"
"Gerry Cheney","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave', 'Corruption']","NULL","tt1800301"
"Rabbit Duran","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave']","NULL","tt1800301"
"Chelsey Green","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave', 'Bed Time Ghost Tales']","NULL","tt1800301"
"Kevin Grogen","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave']","NULL","tt1800301"
"Elizabeth Hoots","NULL","['Reparto', 'Cámara y electricidad', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave', 'Wet Behind the Ears', 'Bleed']","NULL","tt1800301"
"Laurence Love","NULL","['Sonido', 'Reparto', 'Sonido']","['su papel en The Red, Black and Blonde: God $ave', 'Billy Bates']","NULL","tt1800301"
"Josh Miley","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave']","NULL","tt1800301"
"Dennis Haladyn","NULL","['Reparto', 'Especialistas', 'Guion']","['su papel en Tell Me Your Secret', 'Enter the Cowboy', 'Westbrick Murders']","['Action on Film International Film Festival, USA 2017 Nominado Action on Film Award Best Foreign Film - Short Enter the Cowboy Compartido con: Jack Hansen 2017 Nominado Action on Film Award Best Western Enter the Cowboy Compartido con: Jack Hansen 2012 Nominado Action on Film Award Best Supporting Actor Små mænd', 'CPH PIX 2016 Ganador Movie Battle The Shoot Out Award Enter the Cowboy Compartido con: Jack Hansen 2012 Nominado Movie Battle Best Acting Performance Supernatural Tales', 'Berlin Short Film Festival 2017 Ganador Jury Prize Best Comedy Short Film Enter the Cowboy Compartido con: Jack Hansen', '60 Seconds Festival 2014 Ganador Audience Award Tell Me Your Secret Compartido con: Daniel Urhøj', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir']","tt1847719"
"David Sakurai","NULL","['Reparto', 'Producción', 'Guion']","['Animales fantásticos: Los crímenes de Grindelwald', 'Avatar: La leyenda de Aang', 'El hombre en el castillo']","['Action on Film International Film Festival, USA 2014 Nominado Action on Film Award Male Action Performer of the Year Echoes of a Ronin 2014 Nominado Action on Film Award Breakout Action Star - Male - Short Echoes of a Ronin 2010 Ganador Action on Film Award Breakout Action Star - Male - Short Eastern Army', 'CPH PIX 2012 Nominado Movie Battle Best Acting Performance Supernatural Tales 2010 Ganador Movie Battle Best Actor Eastern Army', 'Los Angeles New Wave International Film Festival, US 2011 Ganador Short Film Award Best Stunts Eastern Army Compartido con: Philip Th. Pedersen', 'American International Film Festival, San Gabriel 2010 Nominado AIFF Award Best Actor Eastern Army', 'Nightmares Film Festival 2017 Nominado Nightmares Film Festival Award Best Actor Feature Le Accelerator']","tt1847719"
"Daniell Edwards","1980","['Reparto', 'Especialistas', 'Producción']","['Ud af mørket', 'Westbrick Murders', 'Pistoleros']","NULL","tt1847719"
"Maja Muhlack","1977","['Reparto', 'Producción', 'Reparto']","['Westbrick Murders', 'One Hell of a Christmas', 'The Horror Vault']","NULL","tt1847719"
"Hector Vega Mauricio","1965","['Reparto', 'Producción', 'Dirección']","['Supernatural Tales', 'Pistoleros', 'One Hell of a Christmas']","NULL","tt1847719"
"Ted Pappas","1953","['Reparto', 'Reparto']","['The Last Demon Slayer', 'Cuando un hombre vuelve a casa', 'Frihed på prøve']","NULL","tt1847719"
"Erik Holmey","1942","['Reparto', 'Reparto']","['Conan, el bárbaro', 'One Hell of a Christmas', 'Pistoleros']","NULL","tt1847719"
"London Albert","NULL","['Reparto', 'Guion', 'Edición']","['su papel en Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Jaleah Ivory","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Jamya Ivory","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Erik Martinelli","NULL","['Reparto', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story', 'Undead Radio']","NULL","tt10270648"
"Michelle Martinelli","NULL","['Reparto', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story', 'Undead Radio']","NULL","tt10270648"
"Vincent Martinelli","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en The Adventures of Jackson Silo, Messy the Cat: The Movie y Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Jessica Williams","NULL","['Reparto', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Joshua Williams","NULL","['Dirección', 'Reparto', 'Guion']","['su papel en Judge Jhorts', 'Dr']","NULL","tt10270648"
"Fernando Rocha","1975","['Reparto', 'Guion', 'Reparto']","['Balas & Bolinhos: O Último Capítulo', 'Maré Alta', 'Balas & Bolinhos - O Regresso']","NULL","tt14991492"
"João Seabra","NULL","['Reparto', 'Guion', 'Reparto']","['su papel en 2 Duros de Roer', 'Balas & Bolinhos: O Último Capítulo', 'Do Outro Lado do Tejo']","NULL","tt14991492"
"Mafalda Luís de Castro","1989","['Reparto', 'Reparto']","['Lua Vermelha', 'Ana y los siete', '2 Duros de Roer']","NULL","tt14991492"
"Melânia Gomes","NULL","['Reparto', 'Reparto']","['su papel en Maré Alta', 'A Impostora', 'Deixa Que Te Leve']","NULL","tt14991492"
"Susana Cacela","NULL","['Reparto', 'Reparto']","['su papel en Maré Alta', 'Mar Salgado', '2 Duros de Roer']","NULL","tt14991492"
"Jorge Mourato","1974","['Reparto', 'Reparto']","['Bem-Vindos a Beirais', 'Laços de Sangue', 'País Irmão']","NULL","tt14991492"
"Aldo Lima","NULL","['Reparto', 'Guion', 'Reparto']","['su papel en Conexão', 'Arte de Roubar', 'Miss Beijo']","NULL","tt14991492"
"Francisco Menezes","1973","['Reparto', 'Guion', 'Producción']","['Bad Investigate', 'Balas & Bolinhos: O Último Capítulo', '2 Duros de Roer']","NULL","tt14991492"
"Alexandre Santos","NULL","['Reparto', 'Reparto']","['su papel en 2 Duros de Roer']","NULL","tt14991492"
"Ken Duken","1979","['Reparto', 'Producción', 'Dirección']","['Max Manus', 'Malditos bastardos', 'Destino: La saga Winx']","['Grimme Award 2008 Ganador Adolf Grimme Award Fiction En otra Liga Compartido con: Buket Alakus · Jan Berger · Karoline Herfurth · Thierry van Werveke 2005 Ganador Adolf Grimme Award Fiction/Entertainment Kiss and Run Compartido con: Maggie Peren · Annette Ernst', 'Bavarian TV Awards 2017 Nominado Bavarian TV Award Best Actor in a Movie Made for Television (Bester Schauspieler - Fernsehspiel/Fernsehfilm) Tempel 2009 Ganador Bavarian TV Award Best Actor in a Movie Made for Television (Bester Schauspieler - Fernsehspiel/Fernsehfilm) Willkommen zuhause', 'German Television Awards 2017 Nominado German Television Award Best Actor (Bester Schauspieler) TempelDuelo de hermanos: La historia de Adidas y Puma', 'Max Ophüls Festival 2005 Nominado Best Short Film From Another Point of View Compartido con: Bernd Katzmarczyk', 'Monte-Carlo TV Festival 2011 Nominado Golden Nymph Mini-Series - Best Performance by an Actor Laconia, el hundimiento']","tt2363363"
"Dagny Dewath","1981","['Reparto', 'Reparto']","['Sturm der Liebe', 'Robin Hood', 'Professor T']","NULL","tt2363363"
"Matthias Koeberlin","1974","['Reparto', 'Banda sonora', 'Reparto']","['Tornado - La furia del cielo', 'Fugitivos', 'Lutter']","['Bavarian TV Awards 2011 Nominado Bavarian TV Award Best Actor in a Movie Made for Television (Bester Schauspieler - Fernsehspiel/Fernsehfilm) Restrisiko', 'German Television Awards 2007 Ganador German Television Award Best Actor (Bester Schauspieler) Tornado - La furia del cielo', 'Günter Strack TV Award 2000 Ganador Günter Strack TV Award Best Young Actor Ben & Maria - Liebe auf den zweiten Blick', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt2363363"
"Anmol K.C.","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en Dreams', 'Super Star', 'Karodpati']","NULL","tt26686370"
"Resha Ale Magar","NULL","['Reparto', 'Reparto']","['su papel en Chhadke 2']","NULL","tt26686370"
"Santosh Mizar","NULL","['Reparto', 'Reparto']","['su papel en Chhadke 2']","NULL","tt26686370"
"Kamal Mani Nepal","NULL","['Reparto', 'Reparto']","['su papel en Taandro', 'Jatra', 'Kabaddi']","NULL","tt26686370"
"Pradip Raut","2004","['Reparto', 'Reparto']","['Chhadke 2']","NULL","tt26686370"
"Davin Broadhurst","NULL","['Reparto', 'Reparto']","['su papel en Payphone', 'Sunshine & Rainbows', 'The Red Canary']","NULL","tt26749149"
"Brandon Criswell","NULL","['Reparto', 'Reparto']","['su papel en Payphone']","NULL","tt26749149"
"Evan Barnard","NULL","['Reparto', 'Equipos adicionales', 'Reparto']","['su papel en Spider-Man: Hunted', 'Payphone', 'Darryl vs']","NULL","tt26749149"
"Christopher Sabolcik","NULL","['Reparto', 'Reparto']","['su papel en Payphone']","NULL","tt26749149"
"Collins Cornwell","NULL","['Reparto', 'Reparto']","['su papel en Payphone']","NULL","tt26749149"
"Jayden Peszko","NULL","['Reparto', 'Reparto']","['su papel en Payphone', 'Dingus', 'Three']","NULL","tt26749149"
"Nifa Aulo","NULL","['Reparto', 'Reparto']","['su papel en Payphone']","NULL","tt26749149"
"Justin Cho","NULL","['Dirección', 'Dirección de fotografía y cámara', 'Edición']","['su papel en Payphone', 'Three']","NULL","tt26749149"
"Charlie McVickers","NULL","['Reparto', 'Reparto']","['su papel en Payphone']","NULL","tt26749149"
"Sky Sengnaryvong","NULL","['Reparto', 'Reparto']","['John Lick My Nuts', 'A Knives Day Out', 'Cult Wars: Episode I - The Fandom Menace']","NULL","tt28600432"
"Francis Brissette","NULL","['Reparto', 'Guion', 'Reparto']","['su papel en Cult Wars: Episode I - The Fandom Menace', 'Tony the Toxic Owl: Toxic Shorts', 'John Lick My Nuts']","NULL","tt28600432"
"Anaïs Demoustier","1987","['Reparto', 'Música', 'Banda sonora']","[""L'enfance du mal"", 'Las nieves del Kilimanjaro', 'Los consejos de Alice']","['Berlin International Film Festival 2010 Ganador EFP Shooting Star France.', 'César Awards, France 2023 Nominado César Best Supporting Actress (Meilleure actrice dans un second rôle) Novembre 2020 Ganador César Best Actress (Meilleure actrice) Los consejos de Alice 2018 Nominado César Best Supporting Actress (Meilleure actrice dans un second rôle) La casa junto al mar 2011 Nominado César Most Promising Actress (Meilleur espoir féminin) De amor y de agua fresca 2009 Nominado César Most Promising Actress (Meilleur espoir féminin) Les grandes personnes', ""Karlovy Vary International Film Festival 2010 Ganador Best Actress L'enfance du mal"", 'SACD Awards 2011 Ganador Suzanne Bianchetti Award', 'Lumiere Awards, France 2020 Nominado Lumiere Award Best Actress (Meilleure actrice) Los consejos de Alice']","tt11006570"
"Josiane Balasko","1950","['Reparto', 'Guion', 'Dirección']","['Felpudo maldito', 'El quimérico inquilino', 'La clienta']","['César Awards, France 2021 Ganador Anniversary César 2020 Nominado César Best Supporting Actress (Meilleure actrice dans un second rôle) Gracias a Dios 2004 Nominado César Best Actress (Meilleure actrice) Cette femme-là 2000 Ganador Honorary César 1996 Nominado César Best Director (Meilleur réalisateur) Felpudo maldito 4 más', 'Palm Springs International Film Festival 1996 Ganador Audience Award Best Foreign Language Film Felpudo maldito', 'Sundance Film Festival 2009 Nominado Grand Jury Prize World Cinema - Dramatic La clienta', 'Lumiere Awards, France 1996 Ganador Lumiere Award Best Screenplay (Meilleur scénario) Felpudo maldito', ""Rome Film Fest 2008 Nominado Golden Marc'Aurelio Award La clienta""]","tt11006570"
"Philippe Katerine","1968","['Reparto', 'Composición', 'Guion']","['El gran baño', 'La verdad sobre Charlie', 'Gainsbourg (Vida de un héroe']","NULL","tt11006570"
"William Lebghil","1990","['Reparto', 'Banda sonora', 'Reparto']","['Mentes brillantes', ""C'est la vie"", 'Yves']","['César Awards, France 2019 Nominado César Most Promising Actor (Meilleur espoir masculin) Mentes brillantes', 'Lumiere Awards, France 2019 Nominado Lumiere Award Most Promising Actor (Meilleure révélation masculine) Mentes brillantes', 'Club Média Ciné 2019 Ganador Breakthrough Actress (Prix Révélation Féminine) Mentes brillantes', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt11006570"
"Sergi López","1965","['Reparto', 'Banda sonora', 'Reparto']","['El laberinto del fauno', 'Negocios ocultos', 'Harry, un amigo que os quiere']","['Academy of Science Fiction, Fantasy & Horror Films, USA 2007 Nominado Saturn Award Best Supporting Actor El laberinto del fauno', ""Acteurs à l'Écran 1993 Ganador Prix Michel Simon Best Actor La petite amie d'Antonio"", 'Amiens International Film Festival 2015 Ganador Best Actor Un día perfecto para volar', 'Sitges - Catalonian International Film Festival 1997 Ganador Gran Angular Award Best Actor Western', 'César Awards, France 2001 Ganador César Best Actor (Meilleur acteur) Harry, un amigo que os quiere 1998 Nominado César Most Promising Actor (Meilleur jeune espoir masculin) Western']","tt11006570"
"Philippe Duquesne","1965","['Reparto', 'Banda sonora', 'Reparto']","['Largo domingo de noviazgo', 'Bienvenidos al Norte', 'La verdad sobre Charlie']","NULL","tt11006570"
"Olivier Broche","NULL","['Reparto', 'Producción', 'Dirección']","['su papel en La verdad sobre Charlie', 'El instante más oscuro', 'Chez Maupassant']","NULL","tt11006570"
"Jocelyne Augier","NULL","['Reparto', 'Reparto']","['su papel en La pièce rapportée', 'Yann']","NULL","tt11006570"
"Christian Taponard","NULL","['Reparto', 'Reparto']","[""su papel en Le retour d'Arsène Lupin"", 'El pequeño Nicolás', 'Pour une femme']","NULL","tt11006570"
"Raj Singh Jhinjar","NULL","['Reparto', 'Guion', 'Reparto']","NULL","NULL","tt15248456"
"Himanshi Parashar","2000","['Reparto', 'Reparto']","['Teri Meri Doriyaann', 'Babbar', 'Gedi Route']","NULL","tt15248456"
"Gurdeep Manalia","NULL","['Guion', 'Reparto', 'Guion']","['su papel en Dreamland', 'Babbar', 'Furteela']","NULL","tt15248456"
"Seven Chahal","NULL","['Reparto', 'Reparto']","['su papel en Nishana', 'Warning 2', 'Babbar']","NULL","tt15248456"
"Surinder Arora","NULL","['Reparto', 'Reparto']","['su papel en U Turn', 'Babbar', 'A Tale of Punjab']","NULL","tt15248456"
"Raghveer Boli","1987","['Reparto', 'Reparto']","['Warning 2', 'Sheran Di Kaum Punjabi', 'Ik Sandhu Hunda Si']","NULL","tt15248456"
"Raaf Chaudhary","NULL","['Reparto', 'Música', 'Reparto']","['su papel en Bodyguard', 'Airlift', 'Tiger está vivo']","NULL","tt15248456"
"Pardeep Cheema","NULL","['Reparto', 'Reparto']","['su papel en Warning 2', 'Yug the law of karma', 'Niebla de invierno']","NULL","tt15248456"
"Tess Spentzos","NULL","['Reparto', 'Dirección de fotografía y cámara', 'Equipos adicionales']","['su papel en The Light Touch', 'Saw IV', 'Lurk']","['Maverick Movie Awards 2019 Nominado Maverick Movie Award Best Actress: Feature The Light Touch', 'Toronto Film Magazine Fest 2021 Ganador March Award Best Actress The Light Touch', 'Luleå International Film Festival 2021 Ganador Best Actress in a Feature The Light Touch', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt2637906"
"Peter Gerald","NULL","['Reparto', 'Reparto']","['su papel en Lurk', 'Malefaction']","NULL","tt2637906"
"Aris Athan","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en Lurk', 'Celebrating Life', 'December Riots']","NULL","tt2637906"
"Tina Leonora","NULL","['Reparto', 'Reparto']","['su papel en Lurk', 'I ekdromi', 'The Shadows Inside Me']","NULL","tt2637906"
"Maria Mihailidou","NULL","['Reparto', 'Reparto']","['su papel en Lurk']","NULL","tt2637906"
"Salomon Wise","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en Projekt Adler - Ein letzter Job']","NULL","tt15863566"
"Andreas Nguyen","NULL","['Especialistas', 'Reparto', 'Dirección de la segunda unidad o asistencia a dirección']","['su papel en Luc Van Tien: Tuyet Dinh Kungfu', 'Hitman: Agente 47', 'Liger']","['Filmfare Awards 2021 Nominado Technical Award Best Action Khuda Haafiz Compartido con: Viktor Ivanov 2020 Nominado Technical Award Best Action Commando 3 Compartido con: Dawid Szatarski · Allan Amin · K. Ravivarma', 'Action on Film International Film Festival, USA 2018 Ganador Best Picture Best Picture Luc Van Tien: Tuyet Dinh Kungfu 2018 Ganador Best Action Sequence - Martial Arts Best Action Sequence Martial Arts - Feature Luc Van Tien: Tuyet Dinh Kungfu 2018 Nominado Best Fight Choreography - Feature Best Fight Choreography - Feature Luc Van Tien: Tuyet Dinh Kungfu 2018 Nominado Best Drama Best Drama Luc Van Tien: Tuyet Dinh Kungfu 2018 Nominado Best Foreign Film Best Foreign Film Luc Van Tien: Tuyet Dinh Kungfu 1 más', 'German Television Academy Awards 2014 Nominado German Television Academy Award Best Stunt (Bester Stunt) Nachbarn süß-sauer', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir', 'Más de esta persona']","tt15863566"
"Bela Klentze","1988","['Reparto', 'Reparto']","['The Lost Picture, En un lugar de África', 'Factor 8']","NULL","tt15863566"
"Andreas Pape","1980","['Reparto', 'Dirección de fotografía y cámara', 'Cámara y electricidad']","['La petite mort', 'Sounds of Fear', 'M III: Century of the Dead']","NULL","tt15863566"
"Curd Berger","NULL","['Reparto', 'Reparto']","['su papel en Breakdown Forest - Reise in den Abgrund', 'Projekt Adler - Ein letzter Job', '25 km/h']","NULL","tt15863566"
"Viktor Krüger","NULL","['Reparto', 'Especialistas', 'Guion']","['su papel en Luden', 'En el lugar del crimen', 'Zero woman: Kesenai kioku']","NULL","tt15863566"
"Felix Fukuyoshi Ruwwe","NULL","['Especialistas', 'Reparto', 'Cámara y electricidad']","['su papel en Duty - Out of Line', 'Matrix Resurrections', 'Los juegos del hambre: Balada de pájaros cantores y serpientes']","['Screen Actors Guild Awards 2022 Nominado Actor Outstanding Action Performance by a Stunt Ensemble in a Motion Picture Matrix Resurrections Compartido con: Joel Adrian · Steve Albrecht · Abdulmoumen Ali · Christian Angres · Dave Ardito · Raffael Armbruster · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·', 'Bloodstained Indie Film Festival 2021 Ganador Festival Award Best Action Short Duty - Out of Line Compartido con: Julia Schunevitsch', 'The Yellow Fever Independent Film Festival 2021 Ganador Best Action Award Best Action Duty - Out of Line Compartido con: Julia Schunevitsch 2021 Ganador Graeme Livingstone Award Most Memorable Movie Duty - Out of Line Compartido con: Julia Schunevitsch 2021 Nominado Best Short Film Award Best Short Film Duty - Out of Line Compartido con: Julia Schunevitsch', 'Mid West Action fest 2021 Ganador Best Action Sequence Best Action Sequence Duty - Out of Line', 'Fighting Spirit Film Festival 2021 Ganador Audience Award Audience Choice Duty - Out of Line 2021 Nominado Festival Award Best International Short Film Duty - Out of Line']","tt15863566"
"Daniele Balconi","NULL","['Especialistas', 'Reparto', 'Dirección de la segunda unidad o asistencia a dirección']","['su papel en Liger', 'Lift: Un robo de primera clase', 'The Equalizer 3']","NULL","tt15863566"
"Sefa Demirbas","NULL","['Especialistas', 'Reparto', 'Especialistas']","['su papel en Dune: Parte dos', 'Rayo Murali', 'Sanak']","NULL","tt15863566"
"Luke Goss","1968","['Reparto', 'Producción', 'Dirección']","['Hellboy II: El ejército dorado', 'Blade II', 'After the Screaming Stops']","['Academy of Science Fiction, Fantasy & Horror Films, USA 2002 Nominado Cinescape Genre Face of the Future Award Male Blade II', 'MTV Movie + TV Awards 2009 Nominado MTV Movie Award Best Villain Hellboy II: El ejército dorado 2009 Nominado MTV Movie Award Best Fight Hellboy II: El ejército dorado Compartido con: Ron Perlman', 'Teen Choice Awards 2008 Nominado Teen Choice Award Choice Movie Rumble Hellboy II: El ejército dorado Compartido con: Ron Perlman', 'Character and Morality in Entertainment Awards 2007 Ganador Camie Actor Una noche con el rey', 'East Europe International Film Festival 2020 Nominado Fusion Award Best Lead Actor The Loss Adjuster']","tt2048865"
"Heather Roop","1976","['Reparto', 'Producción', 'Reparto']","['Operación AWOL-72', 'The Sacred', 'All My Children']","NULL","tt2048865"
"RZA","1969","['Reparto', 'Guion', 'Composición']","['El hombre de los puños de hierro', 'American Gangster', 'Kill Bill: Volumen 1']","['BAFTA Awards 2004 Nominado Anthony Asquith Award for Film Music Kill Bill: Volumen 1', 'Primetime Emmy Awards 2020 Nominado Primetime Emmy Outstanding Original Main Title Theme Music Wu-Tang: An American Saga', 'International Documentary Association 2019 Nominado IDA Award Best Music Documentary Wu-Tang Clan. Revolución Hip hop Compartido con: Sacha Jenkins · Peter J. Scalettar · Peter Bittenbender · Vinnie Malhotra · Cary Graber · Vanessa Maruskin · · · · · · · · ·', 'Online Film Critics Society Awards 2004 Nominado OFCS Award Best Original Score Kill Bill: Volumen 1', 'Screen Actors Guild Awards 2008 Nominado Actor Outstanding Performance by a Cast in a Motion Picture American Gangster Compartido con: Armand Assante · Josh Brolin · Russell Crowe · Ruby Dee · Chiwetel Ejiofor · Idris Elba · Cuba Gooding Jr. · · · · · · · ·']","tt2048865"
"Bokeem Woodbine","1973","['Reparto', 'Producción', 'Banda sonora']","['Spider-Man: Homecoming', 'Fargo', 'Queen & Slim']","['Primetime Emmy Awards 2016 Nominado Primetime Emmy Outstanding Supporting Actor in a Limited Series or a Movie Fargo For playing: ""Mike Milligan"".', 'Image Awards (NAACP) 2001 Nominado Image Award Outstanding Supporting Actor in a Drama Series City of Angels', 'Black Reel Awards 2023 Nominado Black Reel Outstanding Supporting Actor La inspección 2016 Ganador Black Reel Outstanding Supporting Actor, TV Movie or Limited Series Fargo 2015 Nominado Black Reel Outstanding Supporting Actor, TV Movie or Mini-Series The Fright Night Files', ""Critics Choice Television Awards 2016 Nominado Critics' Choice TV Award Best Supporting Actor in a Movie Made for Television or Limited Series Fargo"", 'Gold Derby Awards 2019 Nominado Gold Derby TV Award TV Movie/Mini Supporting Actor of the Decade Fargo The People v. O.J. Simpson 2016 Nominado Gold Derby TV Award Breakthrough Performer of the Year 2016 Nominado Gold Derby TV Award TV Movie/Mini Supporting Actor Fargo']","tt2048865"
"Louis Mandylor","1966","['Reparto', 'Producción', 'Dirección']","['Friends', 'Rambo: Last Blood', 'La deuda']","['New York International Independent Film & Video Festival 2003 Ganador Feature Film Award Best Actor Fiebre blanca', 'Action on Film International Film Festival, USA 2017 Nominado Action on Film Award Male Action Performer of the Year California Dreaming 2013 Nominado Action on Film Award Best Supporting Actor - Feature 20 Feet Below: The Darkness Descending Compartido con: Kristoff St. John · Danny Trejo 2010 Ganador Action on Film Award Best Supporting Actor - Short Stained 2009 Ganador Action on Film Award Best Motion Picture - Drama In the Eyes of a Killer Compartido con: Mamie Jean Calvert 2009 Ganador AOF/WAB Award Best Actor in a Leading Role In the Eyes of a Killer 1 más', 'Sacramento International Film Festival 2009 Ganador Festival Prize Outstanding Achievement in Feature Film In the Eyes of a Killer Compartido con: Mamie Jean Calvert 2009 Ganador Festival Prize Outstanding Acting (Male) In the Eyes of a Killer', 'Hoboken International Film Festival 2008 Ganador Festival Award Best Actor In the Eyes of a Killer 2008 Nominado Festival Award Best Supporting Actor The Sensei', 'Atlantic City Cinefest 2009 Ganador Lifesaver Achievement Award']","tt2048865"
"Brooke Newton","NULL","['Reparto', 'Producción', 'Sonido']","['La casa de papel', 'Lupin', 'Ray Donovan']","NULL","tt2048865"
"Marco Khan","NULL","['Reparto', 'Especialistas', 'Producción']","NULL","NULL","tt2048865"
"Leif Gantvoort","1972","['Reparto', 'Dirección', 'Guion']","['Navy: Investigación criminal', 'The Amazing Spider-Man', 'Superpoli en Las Vegas']","['Method Fest 2009 Nominado Best Actor Feature Film Lunatics, Lovers & Poets', 'Wisconsin Film Festival 2017 Ganador Jury Award Jury Award The 60 Yard Line Compartido con: Ryan Churchill · Nick Greco · Alex McCullough', 'Independent Filmmakers Showcase IFS Film Festival, US 2017 Ganador IFS Award Best Comedy Award The 60 Yard Line Compartido con: Ryan Churchill · Nick Greco · Alex McCullough', 'South Dakota Film Festival 2019 Ganador Festival Award Best Comedy Horror Heavy Stuff', 'Phoenix Comicon Film Festival 2017 Ganador Jury Prize Best of Festival The 60 Yard Line Compartido con: Ryan Churchill · Nick Greco · Alex McCullough']","tt2048865"
"Leonard Kelly-Young","1948","['Reparto', 'Reparto']","['Perdida', 'Spanners', 'Justified: La ley de Raylan']","NULL","tt2048865"
"Alex Bulger","NULL","['Cámara y electricidad', 'Reparto', 'Guion']","['su papel en The Borrower', 'Muck', 'Sarcastic Actor']","NULL","tt10048402"
"Rahul Madhav","1986","['Reparto', 'Reparto']","['Thani Oruvan', 'Tiyaan', 'My Dear Machans']","NULL","tt12833220"
"Vishnupriya","NULL","['Reparto', 'Reparto']","['su papel en The Speed Track', 'Crime Story', 'V1 Murder Case']","NULL","tt12833220"
"Anoop George","NULL","['Reparto', 'Reparto']","['su papel en Crime Story']","NULL","tt12833220"
"Daniel Balaji","1975","['Reparto', 'Reparto']","['Vettaiyaadu Vilaiyaadu', 'Maayavan', 'Vada Chennai']","NULL","tt12833220"
"Kiran Raj","NULL","['Reparto', 'Reparto']","['su papel en Baba Kalyani', 'Son of Alibaba Nalpathonnaman', 'Hero']","NULL","tt12833220"
"Thamburu","NULL","['Reparto', 'Reparto']","['su papel en Crime Story']","NULL","tt12833220"
"Meenakshi","NULL","['Reparto', 'Reparto']","['su papel en Crime Story']","NULL","tt12833220"
"Babitha","NULL","['Reparto', 'Reparto']","['su papel en Crime Story', 'Hero', 'Padma']","NULL","tt12833220"
"Jay Baruchel","1982","['Reparto', 'Producción', 'Dirección']","['Goon', 'Juerga hasta el fin', 'Cómo entrenar a tu dragón']","['Annie Awards 2011 Ganador Annie Best Voice Acting in an Animated Feature Production Cómo entrenar a tu dragón For playing ""Hiccup"".', 'Canadian Comedy Awards 2010 Ganador Canadian Comedy Award Best Performance by a Male - Film The Trotsky', 'Daytime Emmy Awards 2019 Ganador Daytime Emmy Outstanding Performer in an Animated Program Dragones: Hacia nuevos confines For playing: ""Hiccup"".', 'Genie Awards 2011 Nominado Genie Best Performance by an Actor in a Leading Role The Trotsky', 'Jutra Awards 2011 Nominado Jutra Best Actor (Meilleur Acteur) The Trotsky']","tt1646971"
