Tipo,Género,Título,Mes,Año,ID_IMDB
Movie,Drama,After the flood,12,2012,tt10122258
Movie,Drama,Du shi tong hua,8,2012,tt10167110
Short,Drama,Taggers,10,2012,tt10184196
Short,Drama,Chicken on Wire,11,2012,tt10197596
Movie,Drama,Block Burner,1,2012,tt10203594
Short,Drama,When Angels Cry,1,2012,tt10220486
Short,Drama,Umut (Hope),9,2012,tt10225394
Short,Drama,Nowhere,8,2012,tt10241796
Movie,Drama,Argo,11,2012,tt1024648
Movie,Drama,Return to Babylon,8,2013,tt0255820
Movie,Drama,The Secret Life of Walter Mitty,1,2014,tt0359950
Movie,Drama,In Secret,4,2014,tt0409379
Short,Drama,In absentia,4,2013,tt0431830
Movie,Drama,42,4,2013,tt0453562
Movie,Drama,uwantme2killhim?,4,2015,tt0485061
Movie,Drama,Syrup,5,2013,tt0762138
Movie,Drama,Santorini Blue,5,2013,tt0780625
Movie,Drama,Dallas Buyers Club,1,2014,tt0790636
Movie,Drama,Devil's Knot,6,2014,tt0804463
Movie,Drama,La mula,5,2013,tt0804509
Movie,Drama,Meridian Lines,5,2013,tt0811613
Movie,Drama,The Book Thief,3,2014,tt0816442
Movie,Drama,The Power of Few,2,2013,tt0817545
Movie,Drama,Approaching Midnight,8,2013,tt0837559
Movie,Drama,The Fallen Word,5,2013,tt0843839
Movie,Drama,Young American Dream,12,2013,tt0855705
Movie,Drama,Snitch,4,2013,tt0882977
Movie,Drama,Let Me Survive,11,2013,tt0960727
Movie,Drama,Shroud,2,2013,tt0963948
Movie,Drama,The Wolf of Wall Street,1,2014,tt0993846
Short,Drama,Limbo,5,2013,tt10003826
Short,Drama,Kéhila,6,2013,tt10010824
Short,Drama,Madres,3,2013,tt10011202
Movie,Drama,Parees,4,2013,tt10017274
Short,Drama,Alexander III,11,2013,tt10020608
Movie,Drama,Im Dickicht Der Städte,2,2013,tt10035152
Short,Drama,A Cup of Turkish Coffee,11,2013,tt10039550
Short,Drama,Finir en beauté,10,2013,tt10049384
Short,Drama,Bout Dat Life,1,2013,tt10061714
Short,Drama,Tambatajá de Marrí,12,2013,tt10071410
Short,Drama,Discard,1,2013,tt10075480
Short,Drama,Il più bel giorno della mia vita,12,2013,tt10075664
Movie,Drama,Tendlya Nighala Oscarla,5,2013,tt10087228
Movie,Drama,Sutradhaar,8,2013,tt10087552
Movie,Drama,Sat Na Gat,9,2013,tt10087614
Movie,Drama,Govinda,8,2013,tt10087544
Movie,Drama,Nan Ni Wan,3,2013,tt10095420
Movie,Drama,Mao Zedong and Qi Baishi,12,2013,tt10095466
Movie,Drama,Rock and a Hard Place,6,2013,tt10094394
Movie,Drama,El País de Abril,5,2013,tt10111144
Movie,Drama,Dhilakani,5,2013,tt10109692
Movie,Drama,Karma ke Rati,7,2013,tt10107250
Short,Drama,Pestilence Compilation,10,2013,tt10112016
Short,Drama,Prinses,8,2013,tt10127578
Short,Drama,Bloedson,8,2013,tt10127532
Short,Drama,Die Beleefnis,8,2013,tt10127504
Short,Drama,Bullets Oor Bishop Lavis,8,2013,tt10127554
Short,Drama,Vashou-ding,9,2013,tt10127752
Short,Drama,The Redhaired,1,2013,tt10138378
Short,Drama,Main Tamanna,1,2013,tt10138960
Short,Drama,En la boca del tiempo,12,2013,tt10142388
Movie,Drama,Pablo,6,2013,tt10150576
Short,Drama,Vrek,9,2013,tt10158740
Movie,Drama,Illuminate,5,2013,tt10174596
Movie,Drama,"Luca, l'évangile d'un homo",10,2013,tt10182318
Short,Drama,Lend your leg,3,2013,tt10193472
Short,Drama,Prick of Conscience,11,2013,tt10197752
Short,Drama,Nympho,7,2013,tt10217914
Movie,Drama,Hati Ke Hati,10,2013,tt10240846
Short,Drama,Mia madre faceva la pittrice,4,2013,tt10260066
Short,Drama,Penguins at North Pole,10,2013,tt10262578
Short,Drama,Fleshly Meat Pies,5,2013,tt10265936
Short,Drama,"I, For Rent",5,2013,tt10267156
Short,Drama,Le sacre d'automne,11,2014,tt0165933
Movie,Drama,A Walk Among the Tombstones,10,2014,tt0365907
Movie,Drama,The Ninth Cloud,3,2017,tt0424859
Movie,Drama,The Giver,8,2014,tt0435651
Movie,Drama,Before We Go,11,2020,tt0443465
Movie,Drama,A Long Way Down,3,2014,tt0458413
Movie,Drama,Ex Machina,4,2015,tt0470752
Movie,Drama,Dil Ka Sauda,1,2014,tt0485535
Movie,Drama,Kid Cannabis,7,2014,tt0780548
Movie,Drama,Interstellar,11,2014,tt0816692
Movie,Drama,Dracula Untold,10,2014,tt0829150
Movie,Drama,Electric Slide,4,2015,tt0835775
Movie,Drama,Bhopal: A Prayer for Rain,11,2014,tt0839742
Movie,Drama,Suite Française,3,2015,tt0900387
Movie,Drama,Love & Mercy,6,2015,tt0903657
Movie,Drama,A Merry Christmas Miracle,11,2014,tt0910885
Movie,Drama,Coffee Sex You,11,2014,tt0949872
Movie,Drama,Out of Sight,11,2014,tt0959306
Movie,Drama,Avenge,4,2014,tt0961036
Short,Drama,Cocoon,8,2014,tt10005668
Short,Drama,"Zahtevam most, pripada mi!",9,2014,tt10010244
Short,Drama,El Encuentro,9,2014,tt10023094
Short,Drama,Ruby Rouge,11,2014,tt10029984
Short,Drama,Though I Walk Through the Valley,11,2014,tt10033718
Short,Drama,La novia de Poznan',1,2014,tt10034416
Short,Drama,The Soul of a Policeman,5,2014,tt10033820
Movie,Drama,Zvyozdy svetyat vsem,11,2014,tt10035404
Short,Drama,The Drive,6,2014,tt10036308
Short,Drama,The Extra Mile,4,2014,tt10036262
Movie,Drama,Prathighatana,4,2014,tt10039008
Short,Drama,La Nuit,8,2014,tt10038072
Short,Drama,The GCPD,3,2014,tt10044158
Movie,Drama,Gafas de ver,9,2014,tt10048070
Short,Drama,Café,11,2014,tt10075052
Movie,Drama,Healing Mate,10,2014,tt10078844
Short,Drama,i.m.,4,2014,tt10083918
Short,Drama,Cracked,4,2014,tt10091134
Short,Drama,Red Christmas,12,2014,tt10091230
Movie,Drama,Wu cai shen jian,6,2014,tt10097458
Movie,Drama,Fingertips of an Angel,10,2014,tt10106844
Short,Drama,Tags,5,2014,tt10121640
Short,Drama,The Sun Came Dripping a Bucket Full of Gold,9,2014,tt10133306
Short,Drama,Iemand Anders,8,2014,tt10134416
Short,Drama,Ben se Begrafnis,8,2014,tt10133862
Short,Drama,Stom,8,2014,tt10133708
Short,Drama,Juweeldiewe,8,2014,tt10133770
Short,Drama,Agterplaas,8,2014,tt10137614
Short,Drama,'n Liefdeslobotomie,8,2014,tt10137378
Short,Drama,O Obituarista,8,2014,tt10137244
Movie,Drama,The Sisterhood of Night,10,2014,tt1015471
Short,Drama,Andrej Sifrer - Najvecje ljubezni,10,2014,tt10170538
Short,Drama,Without Even,6,2014,tt10176900
Movie,Drama,Mummy Dearest,9,2014,tt10183622
Movie,Drama,Dazzling Mirage,10,2014,tt10183654
Short,Drama,Departure,7,2014,tt10183520
Short,Drama,On Her Skin,8,2014,tt10192886
Movie,Drama,Apnea,5,2014,tt10197886
Movie,Drama,Selma,2,2015,tt1020072
Short,Drama,Hotel Farrapos,1,2014,tt10204650
Short,Drama,Mental Glitch,2,2014,tt10221766
Short,Drama,Mahmud Bin Ahmed El-Hoyi,1,2014,tt10225630
Movie,Drama,Zahreela,10,2014,tt10225036
Short,Drama,Secret Love,10,2014,tt10236288
Short,Drama,Kopfgeschichten,5,2014,tt10241902
Short,Drama,The Younger,9,2014,tt10256518
Short,Drama,Home Drifting Home,5,2014,tt10261946
Movie,Drama,"Legs Wide Spread, the Motion Picture",12,2014,tt10265840
Short,Drama,Alan Moore Vlogs,1,2014,tt10275342
Short,Drama,I am Calling From,12,2014,tt10283166
Short,Drama,Reunion,5,2014,tt10287224
Movie,Drama,Little Sami,9,2014,tt10294126
Short,Drama,Shulie,4,2015,tt0177220
Movie,Drama,Chatô: O Rei do Brasil,11,2015,tt0337926
Movie,Drama,Transeúntes,4,2015,tt0346045
Movie,Drama,The Stanford Prison Experiment,7,2015,tt0420293
Movie,Drama,High-Rise,6,2016,tt0462335
Movie,Drama,The Man Who Knew Infinity,7,2016,tt0787524
Movie,Drama,Miles Ahead,4,2016,tt0790770
Movie,Drama,The Danish Girl,1,2016,tt0810819
Movie,Drama,Chooriyan,6,2015,tt0977643
Short,Drama,The Invite,12,2015,tt10005560
Short,Drama,Zöld fény,6,2015,tt10009920
Short,Drama,Memòries,8,2015,tt10008620
Movie,Drama,Dangebaaz,8,2015,tt10007824
Short,Drama,Christmas for the Rest of Us,12,2015,tt10022526
Short,Drama,Jeremy,12,2015,tt10022366
Short,Drama,This Other American Life,5,2015,tt10033692
Movie,Drama,De hormigón armado,10,2015,tt10047128
Short,Drama,Austin,1,2015,tt10047804
Short,Drama,The First Act,12,2015,tt10056262
Short,Drama,Alchy,12,2015,tt10068190
Short,Drama,Kalós,6,2015,tt10069434
Movie,Drama,Trên Dinh Bình Yên,12,2015,tt10075438
Movie,Drama,My Nhân,11,2015,tt10075508
Short,Drama,Diner Noir Istanbul,3,2015,tt10081296
Movie,Drama,Nguoi Tro Vê,10,2015,tt10081028
Short,Drama,Greener Grass,11,2015,tt10087070
Movie,Drama,Aakhri Pal,8,2015,tt10092762
Movie,Drama,Firak,9,2015,tt10092508
Short,Drama,1976,5,2015,tt10090762
Short,Drama,The Girl in Pieces,7,2015,tt10091854
Movie,Drama,Bad Class,9,2015,tt10098112
Movie,Drama,Taste of Life,12,2015,tt10101904
Movie,Drama,Darah Panas,6,2015,tt10107482
Short,Drama,Real Nigga,5,2015,tt10127240
Short,Drama,Beurtkrag,8,2015,tt10137752
Short,Drama,After the Birds,4,2015,tt10140096
Short,Drama,Next Victim,4,2015,tt10137690
Short,Drama,D'Bushaischen,2,2015,tt10144242
Movie,Drama,Child 44,5,2015,tt1014763
Short,Drama,Northern Light,1,2015,tt10155774
Short,Drama,A Long Time Comin',12,2015,tt10154382
Short,Drama,Carousel,7,2015,tt10165022
Short,Drama,Thikana (Refuge),9,2015,tt10168760
Short,Drama,Maria Masle feat. Prince Myles - Dame Dame,10,2015,tt10170378
Movie,Drama,A Place Where The Dream Begins,9,2015,tt10167868
Movie,Drama,Pashbandh,5,2015,tt10168764
Movie,Drama,Erau Kota Raja,1,2015,tt10173962
Movie,Drama,Our Brand Is Crisis,10,2015,tt1018765
Short,Drama,Pele 1 Real,11,2015,tt10188570
Short,Drama,Golddiggers,2,2015,tt10192712
Short,Drama,Boedo 2108,11,2015,tt10195442
Movie,Drama,"Yeo-ja, nam-ja",3,2015,tt10210636
Short,Drama,I Don't Usually Imbibe on Libations,4,2015,tt10217100
Short,Drama,A Simple Hi,7,2015,tt10222254
Short,Drama,Summertime,8,2015,tt10228132
Short,Drama,Ta Da!,3,2015,tt10236290
Short,Drama,"Samir, Sheikh El Chabeb",10,2015,tt10235872
Movie,Drama,Manatsu no yume,5,2015,tt10240726
Short,Drama,La vallée,1,2015,tt10243918
Short,Drama,Élégie Nocturne,1,2015,tt10246508
Movie,Drama,Wazir,1,2016,tt0315642
Movie,Drama,American Pastoral,12,2016,tt0376479
Movie,Drama,The History of Love,1,2017,tt0443533
Movie,Drama,"Tak erkir, tsurt dzmer",5,2016,tt0470936
Movie,Drama,"Hail, Caesar!",2,2016,tt0475290
Movie,Drama,Silence,2,2017,tt0490215
Movie,Drama,Nina,4,2016,tt0493076
Movie,Drama,Retreat!,8,2016,tt0838194
Movie,Drama,Gangster Kittens,12,2016,tt0918520
Movie,Drama,The Legend of Tarzan,7,2016,tt0918940
Movie,Drama,The Man in the Silo,1,2016,tt0932667
Movie,Drama,Pelé: Birth of a Legend,5,2016,tt0995868
